,Number Particles,Inertia,Cognition,Social,Max Velocity,Iteration,Avg X Position,Avg Y Position,Avg Fitness,% Within Error,Best X Position,Best Y Position,Best Fitness,Error
25401,10,0.7,0.5,2.0,50,2000.0,14.2537,6.21427,85.05588,10.0,20.003970000000002,6.9988600000000005,99.99416,10.45541
25402,5,0.4,5.0,3.5,5,2000.0,20.89343,7.3378,96.37416,0.0,20.00196,6.980910000000001,99.97285,1.85448
25403,1000,0.5,3.0,0.5,10,2000.0,19.895310000000002,7.15252,92.5033,0.6,20.000020000000003,6.999960000000001,99.99995,4.21991
25404,2,0.8,4.0,2.0,5,2000.0,20.4517,4.77779,96.53817,0.0,20.04745,6.9816899999999995,99.92808000000001,2.0584599999999997
25405,2,0.6,4.0,0.5,1,90.0,-10.99954,7.01617,56.159969999999994,0.0,-10.99902,7.06152,56.160680000000006,0.04535
25406,200,0.3,3.0,2.0,1,2000.0,19.97965,6.96835,99.42585,23.5,20.0,7.0,100.0,0.33321
25407,5,0.1,3.5,2.5,50,2000.0,22.30864,2.5117700000000003,75.17027,0.0,20.2326,6.946789999999999,99.66256,13.917929999999998
25408,5,0.9,3.0,4.0,1,2000.0,20.2053,6.736039999999999,99.35854,0.0,19.99924,7.00265,99.9961,0.34460999999999997
25409,5,1.0,3.0,5.0,1,2000.0,19.70149,7.292910000000001,99.29604,0.0,19.99693,6.99781,99.99466,0.40764
25410,100,0.4,2.0,4.0,1,2000.0,20.003989999999998,7.016710000000001,99.26688,15.0,20.000529999999998,7.000139999999999,99.99922,0.42599
25411,30,0.8,2.5,0.2,2,2000.0,20.06258,7.4269300000000005,97.17556,0.0,20.00096,6.997730000000001,99.99651,1.64488
25412,5,0.4,5.0,4.0,2,2000.0,20.41049,7.515439999999999,98.81406,0.0,20.00084,7.003710000000001,99.99461,0.60393
25413,100,0.9,4.0,4.0,2,2000.0,19.86949,6.98261,97.99724,3.0,19.99654,6.998139999999999,99.99445,1.19284
25414,70,0.8,2.5,4.0,50,2000.0,16.60755,7.07515,54.62335,0.0,19.892879999999998,6.98373,99.84676999999999,26.78547
25415,200,0.1,3.5,2.5,2,2000.0,19.95928,6.98365,98.58218000000001,0.5,20.0,7.0,100.0,0.73573
25416,30,0.3,5.0,4.0,1,2000.0,19.90043,7.02153,99.22553,10.0,19.999979999999997,6.99987,99.99982,0.43316000000000004
25417,2,0.3,1.0,5.0,10,2000.0,17.01953,8.08972,95.48666,0.0,20.01182,7.02291,99.96355,2.4809799999999997
25418,5,0.2,3.0,3.5,1,2000.0,19.9267,7.178560000000001,99.20442,0.0,19.99908,6.99109,99.98733,0.41663999999999995
25419,70,0.3,3.5,2.0,2,2000.0,19.87288,7.10555,98.72634000000001,7.142860000000001,20.00036,6.9995899999999995,99.99924,0.70673
25420,30,0.4,0.2,2.0,5,135.0,19.988870000000002,6.99745,99.96463,96.66666,20.00001,7.000039999999999,99.99995,0.04612
25421,10,0.7,3.5,4.0,10,2000.0,15.436179999999998,6.475709999999999,90.38802,0.0,20.02168,6.968789999999999,99.94625,5.20103
25422,200,0.2,1.0,1.0,1,147.0,19.99972,6.9934,99.98948,99.5,20.0,7.0,100.0,0.06652999999999999
